dataset,test_pct,preprocessing,accuracy__Decision Tree,accuracy__Naive Bayes,accuracy__Random Forest,accuracy__kNN,precision_weighted__Decision Tree,precision_weighted__Naive Bayes,precision_weighted__Random Forest,precision_weighted__kNN
Breast Cancer,15,labelEncoder,0.9418604651162791,0.9418604651162791,0.9534883720930233,0.9302325581395349,0.9451631815516904,0.9424787586261918,0.9534883720930233,0.9302325581395349
Breast Cancer,15,labelEncoder+oneHotEncoder,0.9418604651162791,0.9418604651162791,0.9534883720930233,0.9302325581395349,0.9451631815516904,0.9424787586261918,0.9534883720930233,0.9302325581395349
Breast Cancer,15,labelEncoder+oneHotEncoder+standardScaler,0.9418604651162791,0.9418604651162791,0.9534883720930233,0.9534883720930233,0.9451631815516904,0.9424787586261918,0.9534883720930233,0.9534883720930233
Breast Cancer,15,labelEncoder+standardScaler,0.9418604651162791,0.9418604651162791,0.9534883720930233,0.9534883720930233,0.9451631815516904,0.9424787586261918,0.9534883720930233,0.9534883720930233
Breast Cancer,30,labelEncoder,0.9181286549707602,0.9473684210526315,0.9415204678362573,0.9298245614035088,0.9181286549707602,0.9482047279214987,0.9414097045909634,0.9299510036352141
Breast Cancer,30,labelEncoder+oneHotEncoder,0.9181286549707602,0.9473684210526315,0.9415204678362573,0.9298245614035088,0.9181286549707602,0.9482047279214987,0.9414097045909634,0.9299510036352141
Breast Cancer,30,labelEncoder+oneHotEncoder+standardScaler,0.9181286549707602,0.935672514619883,0.9415204678362573,0.9649122807017544,0.9181286549707602,0.9356385250259279,0.9414097045909634,0.9667753454432543
Breast Cancer,30,labelEncoder+standardScaler,0.9181286549707602,0.935672514619883,0.9415204678362573,0.9649122807017544,0.9181286549707602,0.9356385250259279,0.9414097045909634,0.9667753454432543
Breast Cancer,50,labelEncoder,0.9122807017543859,0.9438596491228071,0.9473684210526315,0.9298245614035088,0.9129748108804121,0.9451765989046691,0.947275769708064,0.9298302513039355
Breast Cancer,50,labelEncoder+oneHotEncoder,0.9122807017543859,0.9438596491228071,0.9473684210526315,0.9298245614035088,0.9129748108804121,0.9451765989046691,0.947275769708064,0.9298302513039355
Breast Cancer,50,labelEncoder+oneHotEncoder+standardScaler,0.9122807017543859,0.9368421052631579,0.9473684210526315,0.9614035087719298,0.9129748108804121,0.937361356025664,0.947275769708064,0.9620957738105446
Breast Cancer,50,labelEncoder+standardScaler,0.9122807017543859,0.9368421052631579,0.9473684210526315,0.9614035087719298,0.9129748108804121,0.937361356025664,0.947275769708064,0.9620957738105446
Heart Failure,15,labelEncoder,0.7333333333333333,0.7333333333333333,0.7777777777777778,0.6444444444444445,0.7180952380952381,0.7157657657657658,0.7710437710437712,0.5806267806267805
Heart Failure,15,labelEncoder+oneHotEncoder,0.7333333333333333,0.7333333333333333,0.7777777777777778,0.6444444444444445,0.7180952380952381,0.7157657657657658,0.7710437710437712,0.5806267806267805
Heart Failure,15,labelEncoder+oneHotEncoder+standardScaler,0.7333333333333333,0.6888888888888889,0.7777777777777778,0.7111111111111111,0.7180952380952381,0.6582582582582582,0.7710437710437712,0.6994708994708995
Heart Failure,15,labelEncoder+standardScaler,0.7333333333333333,0.6888888888888889,0.7777777777777778,0.7111111111111111,0.7180952380952381,0.6582582582582582,0.7710437710437712,0.6994708994708995
Heart Failure,30,labelEncoder,0.7888888888888889,0.7555555555555555,0.8222222222222222,0.5666666666666667,0.7843616452991453,0.7473900975915481,0.8186747422308746,0.5140432098765432
Heart Failure,30,labelEncoder+oneHotEncoder,0.7888888888888889,0.7555555555555555,0.8222222222222222,0.5666666666666667,0.7843616452991453,0.7473900975915481,0.8186747422308746,0.5140432098765432
Heart Failure,30,labelEncoder+oneHotEncoder+standardScaler,0.7888888888888889,0.7333333333333333,0.8222222222222222,0.7444444444444445,0.7843616452991453,0.7190017296763034,0.8186747422308746,0.7576388888888889
Heart Failure,30,labelEncoder+standardScaler,0.7888888888888889,0.7333333333333333,0.8222222222222222,0.7444444444444445,0.7843616452991453,0.7190017296763034,0.8186747422308746,0.7576388888888889
Heart Failure,50,labelEncoder,0.74,0.7533333333333333,0.8333333333333334,0.5866666666666667,0.736,0.7422222222222222,0.8299395837995077,0.5044318181818181
Heart Failure,50,labelEncoder+oneHotEncoder,0.74,0.7533333333333333,0.8333333333333334,0.5866666666666667,0.736,0.7422222222222222,0.8299395837995077,0.5044318181818181
Heart Failure,50,labelEncoder+oneHotEncoder+standardScaler,0.74,0.72,0.8333333333333334,0.72,0.736,0.702,0.8299395837995077,0.7078787878787879
Heart Failure,50,labelEncoder+standardScaler,0.74,0.72,0.8333333333333334,0.72,0.736,0.702,0.8299395837995077,0.7078787878787879
